strdrink,num_ingredients,total_ounces,cost,ounces_alcohol,weighted_abv,oz_alc_per_dollar
Egg Cream,3,13.0,0.6738188709717486,0.0,0.0,0.0
Egg Nog #4,11,48.54,7.010836146459672,3.2,0.06592501030078286,0.45643628422494714
Egg Nog - Healthy,7,25.84,3.7065289854602943,0.068,0.0026315789473684214,0.018346005188883054
Egg-Nog - Classic Cooked,5,40.21,3.1447711729602945,0.0,0.0,0.0
Elderflower Caipirinha,3,4.04,1.845,1.0244,0.25356435643564357,0.555230352303523
Empellón Cocina's Fat-Washed Mezcal,3,3.25,2.65968730900416,0.9875,0.3038461538461539,0.37128424708306773
English Highball,5,4.25,2.794061058471749,0.75,0.17647058823529413,0.26842648900816185
English Rose Cocktail,6,4.21,3.3447118644067797,1.125,0.2672209026128266,0.3363518430307391
Espresso Martini,3,2.05,1.921844835566371,0.7270000000000001,0.3546341463414635,0.3782823600250495
Espresso Rumtini,4,5.25,1.9300000000000002,0.6000000000000001,0.1142857142857143,0.31088082901554404
Fahrenheit 5000,3,1.02,1.845386075646323,0.375,0.3676470588235294,0.2032095098954624
Figgy Thyme,6,6.29,4.564092701693954,0.8160000000000001,0.12972972972972974,0.1787869031882598
Flaming Dr. Pepper,5,5.0,2.026532335566371,1.0,0.2,0.493453759631485
Flaming Lamborghini,4,4.0,3.892,0.8500000000000001,0.21250000000000002,0.21839671120246662
Flander's Flake-Out,2,8.0,1.134,1.1800000000000002,0.14750000000000002,1.0405643738977075
Flying Dutchman,2,2.5,1.788,1.075,0.43,0.6012304250559284
Flying Scotchman,4,2.06,5.7775,0.858,0.41650485436893203,0.14850713976633492
Foxy Lady,3,3.0,2.0617578125,0.15,0.049999999999999996,0.07275345294708324
Frappé,3,8.25,1.0417578125,0.0,0.0,0.0
Freddy Kruger,3,1.5,2.283844835566371,0.565,0.37666666666666665,0.2473898362976509
French 75,6,9.33,2.407088841727153,1.23,0.13183279742765272,0.5109906949331545
French Connection,2,2.25,3.2633962264150944,0.7125000000000001,0.3166666666666667,0.21833082793709532
French Martini,3,2.54,1.4945566999731508,0.6845000000000001,0.269488188976378,0.4579953373547467
French Negroni,4,4.0,3.303,0.83,0.2075,0.2512867090523766
Frisco Sour,6,4.25,2.89,0.875,0.20588235294117646,0.3027681660899654
Frosé,4,39.86,1.841418063867696,0.0,0.0,0.0
Frozen Daiquiri,6,12.67,2.48071186440678,0.675,0.05327545382794002,0.27209931539607274
Frozen Mint Daiquiri,4,8.67,2.011418063867696,0.8,0.0922722029988466,0.3977293504373247
Frozen Pineapple Daiquiri,4,6.08,1.4627118644067796,0.6000000000000001,0.0986842105263158,0.410196987253766
Fruit Cooler,7,59.31,1.7227729228785282,0.0,0.0,0.0
Fruit Flip-Flop,2,16.0,0.16446967690677966,0.0,0.0,0.0
Fruit Shake,5,19.5,0.8424696769067797,0.0,0.0,0.0
Funk and Soul,5,7.5,1.117484787285308,1.2000000000000002,0.16000000000000003,1.0738401217211604
Fuzzy Asshole,2,1.0,0.8440000000000001,0.0,0.0,0.0
GG,3,5.75,1.1526875,1.6125,0.28043478260869564,1.398904733503226
Gagliardo,4,10.0,2.1293917405921863,2.18,0.21800000000000003,1.02376653315737
Garibaldi Negroni,4,5.11,2.20571186440678,0.6868,0.13440313111545987,0.31137339880280007
Gentleman's Club,4,4.5,2.4023550295857987,1.25,0.2777777777777778,0.5203227602106415
Gideon's Green Dinosaur,6,3.5,3.586219644570531,0.75,0.21428571428571427,0.20913387196890906
Gimlet,4,4.5,1.7507118644067798,1.25,0.2777777777777778,0.7139952755295665
Gin And Tonic,3,8.0,1.8040416666666668,1.0,0.125,0.5543109222347968
Gin Basil Smash,4,3.8899999999999997,3.4207118644067798,1.015,0.26092544987146526,0.29672186382059434
Gin Cooler,5,6.0,2.0600610584717485,1.0,0.16666666666666666,0.4854225052639205
Gin Daisy,6,5.16,2.6107118644067797,1.0,0.19379844961240308,0.38303729095252936
Gin Fizz,4,3.67,1.7300610584717488,1.0,0.2724795640326976,0.5780142816943993
Gin Lemon,4,9.24,1.2387118644067796,1.015,0.10984848484848483,0.8193995949865908
Gin Rickey,5,3.7199999999999998,2.0600610584717485,1.0,0.2688172043010753,0.4854225052639205
Gin Sling,5,2.91,2.028,1.0,0.3436426116838488,0.4930966469428008
Gin Smash,6,8.58,2.938767257932665,1.0,0.11655011655011654,0.34027873330243585
